ID,Producto,Categoria,Precio,Cantidad,Ciudad,Fecha,Total
1001,Teclado,Tecnologia,3447723,4,Barranquilla,2024-01-01,13790892
1002,Silla,Hogar,3053758,1,Cali,2024-01-02,3053758
1003,Escritorio,Hogar,2825995,1,Bogota,2024-01-03,2825995
1004,Silla,Hogar,2719995,1,Barranquilla,2024-01-04,2719995
1005,Silla,Hogar,306508,3,Medellin,2024-01-05,919524
1006,Mouse,Tecnologia,853591,1,Cali,2024-01-06,853591
1007,Escritorio,Hogar,946942,1,Bogota,2024-01-07,946942
1008,Escritorio,Hogar,2253682,1,Medellin,2024-01-08,2253682
1009,Escritorio,Hogar,654365,3,Medellin,2024-01-09,1963095
1010,Silla,Hogar,1920928,1,Ibague,2024-01-10,1920928
1011,Teclado,Tecnologia,2607489,4,Barranquilla,2024-01-11,10429956
1012,Escritorio,Hogar,1823415,1,Cali,2024-01-12,1823415
1013,Silla,Hogar,2105555,4,Bogota,2024-01-13,8422220
1014,Mouse,Tecnologia,855889,4,Ibague,2024-01-14,3423556
1015,Teclado,Tecnologia,1558349,4,Barranquilla,2024-01-15,6233396
1016,Mouse,Tecnologia,2355413,3,Ibague,2024-01-16,7066239
1017,Teclado,Tecnologia,3960197,3,Barranquilla,2024-01-17,11880591
1018,Silla,Hogar,3536825,3,Barranquilla,2024-01-18,10610475
1019,Laptop,Tecnologia,1413715,1,Cali,2024-01-19,1413715
1020,Teclado,Tecnologia,1270405,4,Barranquilla,2024-01-20,5081620
1021,Mouse,Tecnologia,321836,3,Ibague,2024-01-21,965508
1022,Silla,Hogar,3634702,3,Barranquilla,2024-01-22,10904106
1023,Teclado,Tecnologia,2145505,1,Cali,2024-01-23,2145505
1024,Laptop,Tecnologia,3137065,3,Cali,2024-01-24,9411195
1025,Laptop,Tecnologia,2349435,1,Ibague,2024-01-25,2349435
1026,Escritorio,Hogar,246769,2,Medellin,2024-01-26,493538
1027,Escritorio,Hogar,2708505,3,Medellin,2024-01-27,8125515
1028,Mouse,Tecnologia,1321741,2,Barranquilla,2024-01-28,2643482
1029,Teclado,Tecnologia,3819315,1,Bogota,2024-01-29,3819315
1030,Teclado,Tecnologia,1096797,4,Barranquilla,2024-01-30,4387188
1031,Escritorio,Hogar,3097262,3,Ibague,2024-01-31,9291786
1032,Teclado,Tecnologia,1634398,1,Ibague,2024-02-01,1634398
1033,Teclado,Tecnologia,2635031,4,Ibague,2024-02-02,10540124
1034,Laptop,Tecnologia,614685,4,Ibague,2024-02-03,2458740
1035,Escritorio,Hogar,2929190,2,Ibague,2024-02-04,5858380
1036,Silla,Hogar,1452107,1,Cali,2024-02-05,1452107
1037,Escritorio,Hogar,1361736,4,Medellin,2024-02-06,5446944
1038,Silla,Hogar,1057293,3,Ibague,2024-02-07,3171879
1039,Laptop,Tecnologia,629879,3,Bogota,2024-02-08,1889637
1040,Mouse,Tecnologia,3416612,2,Bogota,2024-02-09,6833224
1041,Teclado,Tecnologia,73247,4,Bogota,2024-02-10,292988
1042,Laptop,Tecnologia,1122876,1,Bogota,2024-02-11,1122876
1043,Teclado,Tecnologia,3663009,3,Cali,2024-02-12,10989027
1044,Mouse,Tecnologia,2754238,4,Bogota,2024-02-13,11016952
1045,Mouse,Tecnologia,2680708,4,Ibague,2024-02-14,10722832
1046,Laptop,Tecnologia,3544679,2,Barranquilla,2024-02-15,7089358
1047,Mouse,Tecnologia,1372905,3,Bogota,2024-02-16,4118715
1048,Silla,Hogar,1817640,3,Cali,2024-02-17,5452920
1049,Mouse,Tecnologia,2889291,1,Cali,2024-02-18,2889291
1050,Teclado,Tecnologia,2579467,3,Bogota,2024-02-19,7738401
